match_date,home_team_raw,away_team_raw,home_goals,away_goals,result,home_goals_ht,away_goals_ht,result_ht,referee,home_shots,away_shots,home_shots_target,away_shots_target,home_corners,away_corners,home_fouls,away_fouls,home_yellows,away_yellows,home_reds,away_reds,odds_home_pinnacle_close,odds_draw_pinnacle_close,odds_away_pinnacle_close,odds_home_b365_close,odds_draw_b365_close,odds_away_b365_close,season,home_team,away_team
2012-08-18,Arsenal,Sunderland,0,0,D,0,0,D,C Foy,14,3,4,2,7,0,12,8,0,0,0,0,1.44,4.72,8.71,1.4,4.5,8.5,2012-13,Arsenal,Sunderland
2012-08-18,Fulham,Norwich,5,0,H,2,0,H,M Oliver,11,4,9,2,6,3,12,11,0,0,0,0,1.84,3.75,4.75,1.8,3.6,4.5,2012-13,Fulham,Norwich City
2012-08-18,Newcastle,Tottenham,2,1,H,0,0,D,M Atkinson,6,12,4,6,3,5,12,8,2,2,0,0,2.83,3.35,2.72,2.5,3.4,2.75,2012-13,Newcastle United,Tottenham Hotspur
2012-08-18,QPR,Swansea,0,5,A,0,1,A,L Probert,20,12,11,8,5,3,11,14,2,2,0,0,2.0,3.53,4.15,2.0,3.4,3.8,2012-13,Queens Park Rangers,Swansea City
2012-08-18,Reading,Stoke,1,1,D,0,1,A,K Friend,9,6,3,3,4,3,9,14,2,4,0,1,2.47,3.3,3.22,2.38,3.25,3.1,2012-13,Reading,Stoke City
2012-08-18,West Brom,Liverpool,3,0,H,1,0,H,P Dowd,15,14,10,7,7,3,10,11,1,4,0,1,4.76,3.74,1.84,4.2,3.5,1.91,2012-13,West Bromwich Albion,Liverpool
2012-08-18,West Ham,Aston Villa,1,0,H,1,0,H,M Dean,8,10,4,6,6,4,17,8,0,1,0,0,2.14,3.5,3.71,2.2,3.3,3.4,2012-13,West Ham United,Aston Villa
2012-08-19,Man City,Southampton,3,2,H,1,0,H,H Webb,20,9,15,6,7,3,4,6,1,2,0,0,1.13,9.38,26.18,1.17,7.0,17.0,2012-13,Manchester City,Southampton
2012-08-19,Wigan,Chelsea,0,2,A,0,2,A,M Jones,12,5,4,3,7,1,16,11,2,2,0,0,4.92,3.77,1.81,6.0,3.75,1.62,2012-13,Wigan Athletic,Chelsea
2012-08-20,Everton,Man United,1,0,H,0,0,D,A Marriner,16,12,7,7,6,8,12,11,1,2,0,0,3.91,3.59,2.06,4.33,3.6,1.83,2012-13,Everton,Manchester United
2012-08-22,Chelsea,Reading,4,2,H,1,2,A,L Mason,23,7,11,5,1,5,11,14,0,2,0,0,1.3,5.75,12.6,1.25,5.5,13.0,2012-13,Chelsea,Reading
