match_date,home_team_raw,away_team_raw,home_goals,away_goals,result,home_goals_ht,away_goals_ht,result_ht,referee,home_shots,away_shots,home_shots_target,away_shots_target,home_corners,away_corners,home_fouls,away_fouls,home_yellows,away_yellows,home_reds,away_reds,odds_home_pinnacle_close,odds_draw_pinnacle_close,odds_away_pinnacle_close,odds_home_b365_close,odds_draw_b365_close,odds_away_b365_close,season,home_team,away_team
2012-08-25,Aston Villa,Everton,1,3,A,0,3,A,M Oliver,7,19,3,11,1,9,10,7,1,0,1,0,3.73,3.42,2.16,2.9,3.4,2.4,2012-13,Aston Villa,Everton
2012-08-25,Chelsea,Newcastle,2,0,H,2,0,H,P Dowd,11,11,6,5,2,3,8,10,1,0,0,0,1.5,4.49,7.5,1.5,4.33,6.5,2012-13,Chelsea,Newcastle United
2012-08-25,Man United,Fulham,3,2,H,3,1,H,K Friend,20,14,11,11,8,8,12,7,0,1,0,0,1.3,6.04,11.99,1.29,5.5,11.0,2012-13,Manchester United,Fulham
2012-08-25,Norwich,QPR,1,1,D,1,1,D,M Clattenburg,13,6,4,4,6,2,15,14,0,2,0,0,2.37,3.6,3.09,2.25,3.4,3.2,2012-13,Norwich City,Queens Park Rangers
2012-08-25,Southampton,Wigan,0,2,A,0,0,D,A Taylor,14,12,9,8,10,3,11,9,0,0,0,0,2.2,3.47,3.61,2.1,3.4,3.5,2012-13,Southampton,Wigan Athletic
2012-08-25,Swansea,West Ham,3,0,H,2,0,H,M Atkinson,10,7,7,6,5,4,13,17,2,4,0,0,2.22,3.4,3.6,2.1,3.3,3.6,2012-13,Swansea City,West Ham United
2012-08-25,Tottenham,West Brom,1,1,D,0,0,D,M Dean,18,10,10,5,7,5,8,7,1,2,0,0,1.63,4.18,5.9,1.5,4.33,6.5,2012-13,Tottenham Hotspur,West Bromwich Albion
2012-08-26,Liverpool,Man City,2,2,D,1,0,H,A Marriner,15,11,8,5,4,4,10,7,1,0,0,0,2.95,3.43,2.57,3.1,3.4,2.3,2012-13,Liverpool,Manchester City
2012-08-26,Stoke,Arsenal,0,0,D,0,0,D,L Mason,7,16,4,6,0,11,9,9,2,0,0,0,3.3,3.41,2.36,3.5,3.4,2.1,2012-13,Stoke City,Arsenal
2012-09-01,Man City,QPR,3,1,H,1,0,H,C Foy,19,9,12,5,8,3,12,3,2,1,0,0,1.18,8.19,19.39,1.18,7.0,15.0,2012-13,Manchester City,Queens Park Rangers
2012-09-01,Swansea,Sunderland,2,2,D,1,2,A,R East,14,4,10,3,8,0,11,7,1,1,1,0,2.04,3.47,4.07,2.2,3.3,3.4,2012-13,Swansea City,Sunderland
2012-09-01,Tottenham,Norwich,1,1,D,0,0,D,M Halsey,15,10,9,4,4,2,7,12,1,0,1,0,1.35,5.46,10.48,1.36,5.0,8.5,2012-13,Tottenham Hotspur,Norwich City
2012-09-01,West Brom,Everton,2,0,H,0,0,D,J Moss,14,12,8,5,6,3,11,15,1,4,0,0,3.25,3.39,2.39,3.0,3.3,2.38,2012-13,West Bromwich Albion,Everton
2012-09-01,West Ham,Fulham,3,0,H,3,0,H,A Taylor,17,14,12,13,6,6,12,5,0,0,0,0,2.74,3.41,2.77,2.5,3.25,2.88,2012-13,West Ham United,Fulham
2012-09-01,Wigan,Stoke,2,2,D,1,1,D,M Atkinson,9,16,5,8,2,1,13,11,1,2,0,0,2.15,3.28,4.0,2.25,3.25,3.3,2012-13,Wigan Athletic,Stoke City
2012-09-02,Liverpool,Arsenal,0,2,A,0,1,A,H Webb,17,11,8,7,10,2,12,7,2,2,0,0,1.88,3.78,4.43,2.0,3.5,3.75,2012-13,Liverpool,Arsenal
2012-09-02,Newcastle,Aston Villa,1,1,D,0,1,A,L Probert,16,13,6,9,10,6,6,20,1,4,0,0,1.66,3.95,6.13,1.62,3.75,6.0,2012-13,Newcastle United,Aston Villa
2012-09-02,Southampton,Man United,2,3,A,1,1,D,M Dean,15,18,8,9,4,7,9,4,1,0,0,0,7.24,4.62,1.5,6.0,4.2,1.53,2012-13,Southampton,Manchester United
2012-09-15,Arsenal,Southampton,6,1,H,4,1,H,K Friend,20,9,12,4,8,3,4,7,0,0,0,0,1.35,5.44,10.62,1.36,5.0,8.5,2012-13,Arsenal,Southampton
2012-09-15,Aston Villa,Swansea,2,0,H,1,0,H,L Mason,17,10,13,5,11,5,11,4,3,1,0,0,2.35,3.36,3.36,2.38,3.25,3.1,2012-13,Aston Villa,Swansea City
2012-09-15,Fulham,West Brom,3,0,H,2,0,H,R East,23,10,14,8,5,4,6,10,0,0,0,1,2.25,3.44,3.5,2.1,3.4,3.5,2012-13,Fulham,West Bromwich Albion
2012-09-15,Man United,Wigan,4,0,H,0,0,D,M Oliver,17,8,10,4,5,5,10,14,2,2,0,0,1.33,5.68,11.12,1.25,6.0,12.0,2012-13,Manchester United,Wigan Athletic
2012-09-15,Norwich,West Ham,0,0,D,0,0,D,C Foy,20,9,14,4,8,5,10,12,0,1,0,0,2.54,3.4,2.99,2.38,3.4,3.0,2012-13,Norwich City,West Ham United
2012-09-15,QPR,Chelsea,0,0,D,0,0,D,A Marriner,10,13,6,9,2,4,16,17,0,2,0,0,4.43,3.69,1.91,4.5,3.5,1.83,2012-13,Queens Park Rangers,Chelsea
2012-09-15,Stoke,Man City,1,1,D,1,1,D,M Clattenburg,4,15,3,11,6,5,12,12,0,1,0,0,5.47,3.8,1.74,5.0,3.6,1.73,2012-13,Stoke City,Manchester City
2012-09-15,Sunderland,Liverpool,1,1,D,1,0,H,M Atkinson,6,20,4,9,2,7,18,10,1,2,0,0,3.66,3.59,2.12,3.4,3.3,2.2,2012-13,Sunderland,Liverpool
2012-09-16,Reading,Tottenham,1,3,A,0,1,A,H Webb,4,22,2,11,7,4,4,9,0,1,0,0,3.68,3.44,2.18,3.75,3.5,2.0,2012-13,Reading,Tottenham Hotspur
2012-09-17,Everton,Newcastle,2,2,D,1,0,H,M Jones,17,11,10,7,3,3,16,12,3,3,0,0,1.53,4.33,7.06,1.73,3.6,5.0,2012-13,Everton,Newcastle United
2012-09-22,Chelsea,Stoke,1,0,H,0,0,D,M Oliver,17,13,9,6,13,3,12,15,2,1,0,0,1.4,4.95,10.01,1.36,4.75,9.0,2012-13,Chelsea,Stoke City
2012-09-22,Southampton,Aston Villa,4,1,H,0,1,A,J Moss,12,8,4,2,1,4,5,13,1,3,0,0,2.35,3.39,3.33,2.4,3.3,3.0,2012-13,Southampton,Aston Villa
2012-09-22,Swansea,Everton,0,3,A,0,2,A,A Taylor,18,30,11,19,8,3,23,7,4,1,1,0,3.25,3.31,2.44,3.0,3.3,2.4,2012-13,Swansea City,Everton
2012-09-22,West Brom,Reading,1,0,H,0,0,D,C Foy,9,8,4,1,9,1,14,6,1,0,0,0,1.63,4.15,6.05,1.73,3.75,4.75,2012-13,West Bromwich Albion,Reading
2012-09-22,West Ham,Sunderland,1,1,D,0,1,A,L Mason,20,4,11,2,10,1,12,10,2,1,0,0,2.04,3.41,4.16,2.1,3.3,3.6,2012-13,West Ham United,Sunderland
2012-09-22,Wigan,Fulham,1,2,A,0,1,A,L Probert,18,12,9,9,8,7,7,13,0,3,0,0,2.42,3.36,3.24,2.4,3.3,3.0,2012-13,Wigan Athletic,Fulham
2012-09-23,Liverpool,Man United,1,2,A,0,0,D,M Halsey,13,8,8,4,7,3,14,7,1,2,1,0,2.76,3.25,2.85,2.7,3.3,2.63,2012-13,Liverpool,Manchester United
2012-09-23,Man City,Arsenal,1,1,D,1,0,H,M Dean,14,10,10,4,9,4,11,7,1,0,0,0,1.8,3.85,4.9,1.75,3.6,4.75,2012-13,Manchester City,Arsenal
2012-09-23,Newcastle,Norwich,1,0,H,1,0,H,N Swarbrick,16,8,8,3,4,5,11,19,1,1,0,0,1.71,4.07,5.24,1.8,3.6,4.5,2012-13,Newcastle United,Norwich City
2012-09-23,Tottenham,QPR,2,1,H,0,1,A,P Dowd,18,9,14,6,10,9,7,12,0,2,0,0,1.51,4.5,7.25,1.44,4.33,7.5,2012-13,Tottenham Hotspur,Queens Park Rangers
2012-09-29,Arsenal,Chelsea,1,2,A,1,1,D,M Atkinson,14,10,5,5,6,5,14,13,2,3,0,0,2.19,3.44,3.65,2.1,3.4,3.5,2012-13,Arsenal,Chelsea
2012-09-29,Everton,Southampton,3,1,H,3,1,H,L Probert,17,8,9,2,10,3,2,3,0,0,0,0,1.4,5.27,8.81,1.4,4.75,8.0,2012-13,Everton,Southampton
2012-09-29,Fulham,Man City,1,2,A,1,1,D,M Halsey,7,21,3,12,2,4,7,12,0,1,0,0,4.69,3.88,1.82,4.33,3.6,1.83,2012-13,Fulham,Manchester City
2012-09-29,Man United,Tottenham,2,3,A,0,2,A,C Foy,15,10,8,6,9,5,5,7,0,0,0,0,1.55,4.44,6.6,1.57,4.0,6.0,2012-13,Manchester United,Tottenham Hotspur
2012-09-29,Norwich,Liverpool,2,5,A,0,2,A,M Jones,10,10,7,6,5,5,5,2,1,0,0,0,4.93,3.91,1.78,4.75,3.75,1.73,2012-13,Norwich City,Liverpool
2012-09-29,Reading,Newcastle,2,2,D,0,0,D,A Marriner,14,8,7,3,6,3,6,8,0,3,0,0,2.86,3.41,2.66,2.88,3.3,2.5,2012-13,Reading,Newcastle United
2012-09-29,Stoke,Swansea,2,0,H,2,0,H,J Moss,10,8,5,0,6,8,10,8,1,1,0,0,1.97,3.53,4.34,1.91,3.4,4.2,2012-13,Stoke City,Swansea City
2012-09-29,Sunderland,Wigan,1,0,H,0,0,D,H Webb,11,8,6,3,8,1,20,16,2,5,0,1,2.25,3.33,3.62,2.0,3.4,3.8,2012-13,Sunderland,Wigan Athletic
2012-09-30,Aston Villa,West Brom,1,1,D,0,0,D,A Taylor,19,14,8,7,11,4,9,11,1,1,0,0,2.54,3.43,2.98,2.4,3.3,3.0,2012-13,Aston Villa,West Bromwich Albion
2012-10-01,QPR,West Ham,1,2,A,0,2,A,M Clattenburg,13,17,9,10,4,13,9,21,1,8,1,0,2.41,3.52,3.1,2.05,3.4,3.75,2012-13,Queens Park Rangers,West Ham United
2012-10-06,Chelsea,Norwich,4,1,H,3,1,H,A Taylor,20,7,13,4,10,2,7,1,0,0,0,0,1.22,7.35,16.36,1.22,6.5,12.0,2012-13,Chelsea,Norwich City
2012-10-06,Man City,Sunderland,3,0,H,1,0,H,L Probert,26,8,16,6,15,4,10,10,0,3,0,0,1.31,5.75,12.26,1.29,5.5,11.0,2012-13,Manchester City,Sunderland
2012-10-06,Swansea,Reading,2,2,D,0,2,A,M Dean,25,8,16,6,11,3,8,11,1,3,0,0,1.84,3.79,4.68,1.91,3.6,4.0,2012-13,Swansea City,Reading
2012-10-06,West Brom,QPR,3,2,H,2,1,H,M Jones,13,13,8,6,2,5,16,12,2,2,0,0,1.93,3.78,4.19,1.83,3.75,4.2,2012-13,West Bromwich Albion,Queens Park Rangers
2012-10-06,West Ham,Arsenal,1,3,A,1,1,D,P Dowd,7,20,3,14,4,16,12,7,3,2,0,0,4.38,3.77,1.89,4.0,3.6,1.91,2012-13,West Ham United,Arsenal
2012-10-06,Wigan,Everton,2,2,D,2,1,H,K Friend,10,16,6,11,7,6,14,14,2,5,0,0,3.79,3.5,2.13,4.2,3.4,1.91,2012-13,Wigan Athletic,Everton
2012-10-07,Liverpool,Stoke,0,0,D,0,0,D,L Mason,16,5,5,3,5,5,9,16,0,6,0,0,1.51,4.34,7.87,1.44,4.33,7.5,2012-13,Liverpool,Stoke City
2012-10-07,Newcastle,Man United,0,3,A,0,2,A,H Webb,13,12,3,9,8,6,15,12,4,4,0,0,4.68,4.33,1.73,4.2,3.75,1.83,2012-13,Newcastle United,Manchester United
2012-10-07,Southampton,Fulham,2,2,D,1,0,H,M Clattenburg,13,14,6,5,8,8,13,5,4,0,0,0,2.54,3.49,2.91,2.75,3.3,2.6,2012-13,Southampton,Fulham
2012-10-07,Tottenham,Aston Villa,2,0,H,0,0,D,N Swarbrick,23,8,10,5,8,0,7,10,1,3,0,0,1.47,4.55,8.14,1.44,4.33,7.5,2012-13,Tottenham Hotspur,Aston Villa
2012-10-20,Fulham,Aston Villa,1,0,H,0,0,D,C Foy,17,9,8,4,6,4,7,11,1,2,0,0,1.68,4.04,5.61,1.8,3.6,4.5,2012-13,Fulham,Aston Villa
2012-10-20,Liverpool,Reading,1,0,H,1,0,H,R East,23,8,13,5,6,5,13,6,1,1,0,0,1.31,5.85,11.8,1.33,5.0,10.0,2012-13,Liverpool,Reading
2012-10-20,Man United,Stoke,4,2,H,2,1,H,A Taylor,13,8,8,6,3,3,9,10,1,1,0,0,1.31,5.56,12.92,1.29,5.5,11.0,2012-13,Manchester United,Stoke City
2012-10-20,Norwich,Arsenal,1,0,H,1,0,H,L Probert,7,13,3,7,2,10,9,9,4,0,0,0,7.25,4.84,1.48,6.0,4.2,1.53,2012-13,Norwich City,Arsenal
2012-10-20,Swansea,Wigan,2,1,H,0,0,D,M Jones,18,10,11,7,9,2,13,11,2,3,0,0,2.23,3.48,3.49,2.1,3.4,3.5,2012-13,Swansea City,Wigan Athletic
2012-10-20,Tottenham,Chelsea,2,4,A,0,1,A,M Dean,23,11,16,7,7,4,7,8,3,2,0,0,3.2,3.33,2.43,2.5,3.4,2.75,2012-13,Tottenham Hotspur,Chelsea
2012-10-20,West Brom,Man City,1,2,A,0,0,D,M Clattenburg,16,21,8,13,6,9,11,15,4,3,0,1,5.71,4.29,1.64,5.0,3.75,1.7,2012-13,West Bromwich Albion,Manchester City
2012-10-20,West Ham,Southampton,4,1,H,0,0,D,N Swarbrick,9,11,8,4,6,3,10,12,0,2,0,0,1.85,3.85,4.51,1.83,3.75,4.2,2012-13,West Ham United,Southampton
2012-10-21,QPR,Everton,1,1,D,1,1,D,J Moss,14,10,6,4,5,4,12,18,2,1,0,1,3.56,3.5,2.19,3.25,3.4,2.2,2012-13,Queens Park Rangers,Everton
2012-10-21,Sunderland,Newcastle,1,1,D,0,1,A,M Atkinson,16,10,6,7,8,4,14,15,0,4,0,1,2.93,3.27,2.69,2.5,3.3,2.88,2012-13,Sunderland,Newcastle United
2012-10-27,Arsenal,QPR,1,0,H,0,0,D,A Taylor,21,4,11,3,5,2,14,9,1,2,0,1,1.38,5.4,9.59,1.36,5.0,8.5,2012-13,Arsenal,Queens Park Rangers
2012-10-27,Aston Villa,Norwich,1,1,D,1,0,H,P Dowd,7,14,5,6,3,8,12,7,2,0,1,0,2.04,3.56,3.95,2.0,3.5,3.75,2012-13,Aston Villa,Norwich City
2012-10-27,Man City,Swansea,1,0,H,0,0,D,M Atkinson,10,9,5,5,3,0,8,10,1,2,0,0,1.22,7.2,16.0,1.22,6.0,15.0,2012-13,Manchester City,Swansea City
2012-10-27,Reading,Fulham,3,3,D,1,0,H,M Jones,15,16,9,8,6,8,6,17,1,1,0,0,3.26,3.41,2.37,2.75,3.4,2.5,2012-13,Reading,Fulham
2012-10-27,Stoke,Sunderland,0,0,D,0,0,D,M Halsey,11,6,6,3,7,3,12,6,2,2,0,0,1.96,3.37,4.68,1.95,3.3,4.2,2012-13,Stoke City,Sunderland
2012-10-27,Wigan,West Ham,2,1,H,1,0,H,J Moss,17,15,13,11,6,6,10,16,3,4,0,0,2.27,3.44,3.42,2.25,3.4,3.2,2012-13,Wigan Athletic,West Ham United
2012-10-28,Chelsea,Man United,2,3,A,1,2,A,M Clattenburg,14,15,11,7,8,6,13,11,2,2,2,0,2.27,3.58,3.31,2.4,3.4,2.9,2012-13,Chelsea,Manchester United
2012-10-28,Everton,Liverpool,2,2,D,2,2,D,A Marriner,17,12,8,5,9,5,16,18,4,3,0,0,2.78,3.24,2.84,2.6,3.3,2.75,2012-13,Everton,Liverpool
2012-10-28,Newcastle,West Brom,2,1,H,1,0,H,C Foy,10,8,6,4,6,4,13,7,3,2,0,0,1.95,3.67,4.24,2.0,3.5,3.75,2012-13,Newcastle United,West Bromwich Albion
2012-10-28,Southampton,Tottenham,1,2,A,0,2,A,L Mason,11,11,6,4,2,3,14,8,0,3,0,0,3.7,3.64,2.1,4.2,3.75,1.83,2012-13,Southampton,Tottenham Hotspur
2012-11-03,Fulham,Everton,2,2,D,1,0,H,N Swarbrick,8,26,5,15,5,9,16,9,3,1,0,0,2.76,3.52,2.68,2.75,3.4,2.5,2012-13,Fulham,Everton
2012-11-03,Man United,Arsenal,2,1,H,1,0,H,M Dean,11,7,7,3,6,1,13,13,5,3,0,1,1.74,4.09,4.95,1.7,3.8,5.0,2012-13,Manchester United,Arsenal
2012-11-03,Norwich,Stoke,1,0,H,1,0,H,A Marriner,12,8,8,3,9,1,11,13,1,5,0,0,2.46,3.37,3.16,2.6,3.3,2.75,2012-13,Norwich City,Stoke City
2012-11-03,Sunderland,Aston Villa,0,1,A,0,0,D,M Jones,11,9,1,6,6,7,10,17,2,3,0,0,1.99,3.36,4.54,2.1,3.3,3.6,2012-13,Sunderland,Aston Villa
2012-11-03,Swansea,Chelsea,1,1,D,0,0,D,K Friend,9,11,7,7,8,6,12,9,4,1,0,0,4.33,3.79,1.9,4.5,3.6,1.8,2012-13,Swansea City,Chelsea
2012-11-03,Tottenham,Wigan,0,1,A,0,0,D,M Atkinson,13,7,10,4,9,3,10,11,1,1,0,0,1.54,4.44,6.79,1.5,4.33,6.5,2012-13,Tottenham Hotspur,Wigan Athletic
2012-11-03,West Ham,Man City,0,0,D,0,0,D,H Webb,6,18,1,8,3,7,11,12,3,0,0,0,4.66,4.0,1.8,5.0,3.8,1.7,2012-13,West Ham United,Manchester City
2012-11-04,Liverpool,Newcastle,1,1,D,0,1,A,A Taylor,20,10,12,3,14,3,10,13,0,1,0,1,1.61,4.5,5.61,1.57,4.0,6.0,2012-13,Liverpool,Newcastle United
2012-11-04,QPR,Reading,1,1,D,0,1,A,M Oliver,23,18,12,8,8,8,11,15,0,2,0,0,1.97,3.63,4.21,1.8,3.6,4.5,2012-13,Queens Park Rangers,Reading
2012-11-05,West Brom,Southampton,2,0,H,1,0,H,M Halsey,16,9,6,5,8,6,6,12,1,0,0,0,1.87,3.89,4.36,1.73,3.75,4.75,2012-13,West Bromwich Albion,Southampton
2012-11-10,Arsenal,Fulham,3,3,D,2,2,D,P Dowd,15,9,9,5,8,6,12,10,1,2,0,0,1.56,4.3,6.45,1.53,4.2,6.0,2012-13,Arsenal,Fulham
2012-11-10,Aston Villa,Man United,2,3,A,1,0,H,K Friend,10,16,7,7,5,6,12,7,1,1,0,0,7.9,5.11,1.43,7.0,4.5,1.44,2012-13,Aston Villa,Manchester United
2012-11-10,Everton,Sunderland,2,1,H,0,1,A,L Mason,16,6,10,4,6,2,14,14,1,3,0,0,1.39,5.05,9.76,1.44,4.2,8.0,2012-13,Everton,Sunderland
2012-11-10,Reading,Norwich,0,0,D,0,0,D,C Foy,7,10,3,3,10,3,9,16,0,1,0,0,2.27,3.65,3.26,2.25,3.4,3.2,2012-13,Reading,Norwich City
2012-11-10,Southampton,Swansea,1,1,D,0,0,D,A Marriner,11,5,5,3,10,6,11,10,2,2,0,0,2.52,3.67,2.84,2.38,3.5,2.88,2012-13,Southampton,Swansea City
2012-11-10,Stoke,QPR,1,0,H,0,0,D,M Atkinson,10,17,5,8,5,5,11,16,2,3,0,0,2.04,3.44,4.18,1.91,3.4,4.2,2012-13,Stoke City,Queens Park Rangers
2012-11-10,Wigan,West Brom,1,2,A,1,2,A,N Swarbrick,14,7,6,4,5,8,9,13,1,4,0,0,2.2,3.46,3.56,2.3,3.4,3.1,2012-13,Wigan Athletic,West Bromwich Albion
2012-11-11,Chelsea,Liverpool,1,1,D,1,0,H,H Webb,12,9,3,5,4,7,12,13,1,3,0,0,1.85,3.7,4.8,1.95,3.5,4.0,2012-13,Chelsea,Liverpool
2012-11-11,Man City,Tottenham,2,1,H,0,1,A,M Oliver,16,6,8,2,8,2,16,7,1,2,0,0,1.52,4.69,6.6,1.57,4.0,6.0,2012-13,Manchester City,Tottenham Hotspur
2012-11-11,Newcastle,West Ham,0,1,A,0,1,A,M Dean,14,10,9,5,11,4,8,14,1,2,0,0,2.0,3.72,3.97,1.95,3.6,3.8,2012-13,Newcastle United,West Ham United
2012-11-17,Arsenal,Tottenham,5,2,H,3,1,H,H Webb,13,6,10,4,6,6,13,12,1,2,0,1,1.92,3.66,4.41,1.91,3.75,3.8,2012-13,Arsenal,Tottenham Hotspur
2012-11-17,Liverpool,Wigan,3,0,H,0,0,D,K Friend,22,9,11,3,10,5,9,11,0,3,0,0,1.48,4.55,8.02,1.44,4.33,7.5,2012-13,Liverpool,Wigan Athletic
2012-11-17,Man City,Aston Villa,5,0,H,1,0,H,J Moss,21,10,8,8,9,4,9,4,0,1,0,0,1.2,7.48,18.18,1.2,6.5,15.0,2012-13,Manchester City,Aston Villa
2012-11-17,Newcastle,Swansea,1,2,A,0,0,D,P Dowd,27,15,10,9,5,4,7,7,1,3,0,0,2.18,3.46,3.63,1.91,3.6,4.0,2012-13,Newcastle United,Swansea City
2012-11-17,Norwich,Man United,1,0,H,0,0,D,A Taylor,10,12,5,9,0,12,10,7,0,1,0,0,6.23,4.38,1.58,7.0,4.5,1.44,2012-13,Norwich City,Manchester United
2012-11-17,QPR,Southampton,1,3,A,0,2,A,M Dean,13,21,7,15,4,13,12,9,1,0,0,0,1.98,3.69,4.07,1.91,3.6,4.0,2012-13,Queens Park Rangers,Southampton
2012-11-17,Reading,Everton,2,1,H,0,1,A,M Atkinson,12,21,4,11,7,13,11,11,3,2,0,0,4.87,3.83,1.8,4.33,3.6,1.83,2012-13,Reading,Everton
2012-11-17,West Brom,Chelsea,2,1,H,1,1,D,M Oliver,8,19,6,12,0,12,7,13,0,0,0,0,3.72,3.6,2.1,3.75,3.5,2.0,2012-13,West Bromwich Albion,Chelsea
2012-11-18,Fulham,Sunderland,1,3,A,0,0,D,L Probert,18,12,13,9,4,4,9,13,1,3,1,0,1.8,3.82,4.94,1.67,3.75,5.25,2012-13,Fulham,Sunderland
2012-11-19,West Ham,Stoke,1,1,D,0,1,A,C Foy,16,12,11,6,12,4,8,9,1,0,0,0,2.2,3.25,3.87,2.0,3.4,3.8,2012-13,West Ham United,Stoke City
2012-11-24,Aston Villa,Arsenal,0,0,D,0,0,D,L Mason,10,13,8,6,7,6,6,9,1,0,0,0,4.63,3.8,1.85,4.75,3.75,1.73,2012-13,Aston Villa,Arsenal
2012-11-24,Everton,Norwich,1,1,D,1,0,H,M Jones,14,8,9,4,4,2,10,18,0,3,0,0,1.47,4.66,7.93,1.44,4.33,7.5,2012-13,Everton,Norwich City
2012-11-24,Man United,QPR,3,1,H,0,0,D,L Probert,15,10,10,6,9,7,6,10,1,1,0,0,1.17,8.8,18.26,1.17,7.5,15.0,2012-13,Manchester United,Queens Park Rangers
2012-11-24,Stoke,Fulham,1,0,H,1,0,H,M Oliver,12,8,3,5,7,2,14,11,1,1,0,0,2.23,3.38,3.6,2.2,3.3,3.4,2012-13,Stoke City,Fulham
2012-11-24,Sunderland,West Brom,2,4,A,0,2,A,M Dean,19,11,12,6,7,2,12,15,2,3,0,0,2.47,3.34,3.13,2.5,3.3,2.88,2012-13,Sunderland,West Bromwich Albion
2012-11-24,Wigan,Reading,3,2,H,0,1,A,H Webb,19,16,11,10,9,5,15,9,2,0,0,0,1.93,3.54,4.34,1.83,3.6,4.33,2012-13,Wigan Athletic,Reading
2012-11-25,Chelsea,Man City,0,0,D,0,0,D,C Foy,5,11,1,7,6,11,9,16,0,3,0,0,2.52,3.47,2.99,2.5,3.5,2.7,2012-13,Chelsea,Manchester City
2012-11-25,Southampton,Newcastle,2,0,H,1,0,H,M Atkinson,17,8,10,3,4,3,12,14,2,2,0,0,2.09,3.58,3.85,2.3,3.5,3.0,2012-13,Southampton,Newcastle United
2012-11-25,Swansea,Liverpool,0,0,D,0,0,D,J Moss,17,21,8,14,7,6,6,10,1,0,0,0,3.76,3.51,2.13,3.4,3.5,2.1,2012-13,Swansea City,Liverpool
2012-11-25,Tottenham,West Ham,3,1,H,1,0,H,A Marriner,25,10,13,6,4,2,9,10,1,2,0,0,1.77,3.78,5.27,1.67,3.75,5.5,2012-13,Tottenham Hotspur,West Ham United
2012-11-27,Aston Villa,Reading,1,0,H,0,0,D,L Probert,15,11,7,6,8,3,10,5,1,0,0,0,2.1,3.48,3.9,1.95,3.4,4.0,2012-13,Aston Villa,Reading
2012-11-27,Sunderland,QPR,0,0,D,0,0,D,A Marriner,13,13,8,9,5,8,10,15,1,3,0,0,2.37,3.29,3.39,2.25,3.25,3.3,2012-13,Sunderland,Queens Park Rangers
2012-11-28,Chelsea,Fulham,0,0,D,0,0,D,A Taylor,17,8,13,7,10,2,10,11,3,0,0,0,1.42,4.95,8.8,1.44,4.5,7.0,2012-13,Chelsea,Fulham
2012-11-28,Everton,Arsenal,1,1,D,1,1,D,M Oliver,14,12,10,9,6,6,15,9,2,1,0,0,2.42,3.47,3.14,2.5,3.4,2.75,2012-13,Everton,Arsenal
2012-11-28,Man United,West Ham,1,0,H,1,0,H,M Jones,23,9,13,3,5,5,7,9,1,1,0,0,1.24,6.98,14.76,1.22,6.5,12.0,2012-13,Manchester United,West Ham United
