match_date,home_team_raw,away_team_raw,home_goals,away_goals,result,home_goals_ht,away_goals_ht,result_ht,referee,home_shots,away_shots,home_shots_target,away_shots_target,home_corners,away_corners,home_fouls,away_fouls,home_yellows,away_yellows,home_reds,away_reds,season,home_team,away_team
2000-12-02,Liverpool,Charlton,3,0,H,1,0,H,Rob Styles,13,7,3,2,6,5,10,9,1,1,0,0,2000-01,Liverpool,Charlton Athletic
2000-12-02,Man United,Tottenham,2,0,H,1,0,H,Graham Poll,16,5,8,3,7,5,7,8,2,1,0,0,2000-01,Manchester United,Tottenham Hotspur
2000-12-02,West Ham,Middlesbrough,1,0,H,1,0,H,Roy Burton,14,5,6,3,7,5,17,19,1,4,0,1,2000-01,West Ham United,Middlesbrough
2000-12-03,Chelsea,Man City,2,1,H,2,0,H,Dermot Gallagher,9,11,7,5,7,10,9,12,2,0,0,0,2000-01,Chelsea,Manchester City
2000-12-04,Sunderland,Everton,2,0,H,1,0,H,Peter Jones,24,7,11,2,8,4,16,23,0,3,0,0,2000-01,Sunderland,Everton
2000-12-09,Arsenal,Newcastle,5,0,H,2,0,H,Mike Dean,15,3,10,1,5,2,10,11,0,3,0,0,2000-01,Arsenal,Newcastle United
2000-12-09,Bradford,Tottenham,3,3,D,1,2,A,Neale Barry,13,6,6,4,7,2,6,16,2,0,0,0,2000-01,Bradford City,Tottenham Hotspur
2000-12-09,Charlton,Man United,3,3,D,1,2,A,Steve Lodge,15,15,8,8,9,6,6,10,0,1,0,0,2000-01,Charlton Athletic,Manchester United
2000-12-09,Chelsea,Derby,4,1,H,3,0,H,Paul Taylor,19,5,10,3,3,6,8,14,0,0,0,0,2000-01,Chelsea,Derby County
2000-12-09,Man City,Everton,5,0,H,3,0,H,Steve Bennett,13,14,9,4,5,13,12,12,0,1,0,0,2000-01,Manchester City,Everton
2000-12-09,Southampton,Leeds,1,0,H,1,0,H,Paul Durkin,12,13,3,5,2,10,13,15,3,4,1,0,2000-01,Southampton,Leeds United
2000-12-09,Sunderland,Middlesbrough,1,0,H,0,0,D,Graham Poll,8,8,5,5,5,3,22,21,1,3,0,0,2000-01,Sunderland,Middlesbrough
2000-12-09,West Ham,Aston Villa,1,1,D,1,1,D,Mike Riley,13,15,5,4,4,4,14,15,1,3,0,0,2000-01,West Ham United,Aston Villa
2000-12-10,Coventry,Leicester,1,0,H,1,0,H,Steve Dunn,12,6,5,1,8,10,11,15,0,1,0,0,2000-01,Coventry City,Leicester City
