match_date,home_team_raw,away_team_raw,home_goals,away_goals,result,home_goals_ht,away_goals_ht,result_ht,referee,home_shots,away_shots,home_shots_target,away_shots_target,home_corners,away_corners,home_fouls,away_fouls,home_yellows,away_yellows,home_reds,away_reds,odds_home_b365_close,odds_draw_b365_close,odds_away_b365_close,season,home_team,away_team
2010-08-14,Aston Villa,West Ham,3,0,H,2,0,H,M Dean,23,12,11,2,16,7,15,15,1,2,0,0,2.0,3.3,4.0,2010-11,Aston Villa,West Ham United
2010-08-14,Blackburn,Everton,1,0,H,1,0,H,P Dowd,7,17,2,12,1,3,19,14,2,1,0,0,2.88,3.25,2.5,2010-11,Blackburn Rovers,Everton
2010-08-14,Bolton,Fulham,0,0,D,0,0,D,S Attwell,13,12,9,7,4,8,12,13,1,3,0,0,2.2,3.3,3.4,2010-11,Bolton Wanderers,Fulham
2010-08-14,Chelsea,West Brom,6,0,H,2,0,H,M Clattenburg,18,10,13,4,3,1,10,10,1,0,0,0,1.17,7.0,17.0,2010-11,Chelsea,West Bromwich Albion
2010-08-14,Sunderland,Birmingham,2,2,D,1,0,H,A Taylor,6,13,2,7,3,6,13,10,3,3,1,0,2.1,3.3,3.6,2010-11,Sunderland,Birmingham City
2010-08-14,Tottenham,Man City,0,0,D,0,0,D,A Marriner,22,11,18,7,10,3,13,16,0,2,0,0,2.4,3.3,3.0,2010-11,Tottenham Hotspur,Manchester City
2010-08-14,Wigan,Blackpool,0,4,A,0,3,A,M Halsey,11,9,6,7,6,4,8,11,1,1,0,0,1.83,3.5,4.5,2010-11,Wigan Athletic,Blackpool
2010-08-14,Wolves,Stoke,2,1,H,2,0,H,L Probert,13,10,7,6,5,5,17,13,0,2,0,0,2.3,3.25,3.2,2010-11,Wolverhampton Wanderers,Stoke City
2010-08-15,Liverpool,Arsenal,1,1,D,0,0,D,M Atkinson,7,14,4,7,9,11,13,15,1,3,1,1,2.5,3.25,2.88,2010-11,Liverpool,Arsenal
2010-08-16,Man United,Newcastle,3,0,H,2,0,H,C Foy,18,7,10,3,5,3,9,5,2,2,0,0,1.25,5.5,15.0,2010-11,Manchester United,Newcastle United
