match_date,home_team_raw,away_team_raw,home_goals,away_goals,result,home_goals_ht,away_goals_ht,result_ht,referee,home_shots,away_shots,home_shots_target,away_shots_target,home_corners,away_corners,home_fouls,away_fouls,home_yellows,away_yellows,home_reds,away_reds,odds_home_b365_close,odds_draw_b365_close,odds_away_b365_close,season,home_team,away_team
2008-08-16,Arsenal,West Brom,1,0,H,1,0,H,H Webb,24,5,14,4,7,5,11,8,0,0,0,0,1.2,6.5,15.0,2008-09,Arsenal,West Bromwich Albion
2008-08-16,Bolton,Stoke,3,1,H,3,0,H,C Foy,14,8,8,2,4,3,13,12,1,2,0,0,1.83,3.5,4.5,2008-09,Bolton Wanderers,Stoke City
2008-08-16,Everton,Blackburn,2,3,A,1,1,D,A Marriner,10,15,5,11,3,5,11,9,2,2,0,0,2.0,3.3,4.0,2008-09,Everton,Blackburn Rovers
2008-08-16,Hull,Fulham,2,1,H,1,1,D,P Walton,11,12,6,6,5,6,10,9,3,0,0,0,2.6,3.2,2.8,2008-09,Hull City,Fulham
2008-08-16,Middlesbrough,Tottenham,2,1,H,0,0,D,M Atkinson,14,8,10,5,7,9,11,12,1,2,0,0,3.2,3.4,2.25,2008-09,Middlesbrough,Tottenham Hotspur
2008-08-16,Sunderland,Liverpool,0,1,A,0,0,D,A Wiley,6,14,3,8,1,8,13,12,0,2,0,0,5.5,3.6,1.67,2008-09,Sunderland,Liverpool
2008-08-16,West Ham,Wigan,2,1,H,2,0,H,S Bennett,15,22,8,9,6,10,14,11,2,1,0,0,1.91,3.4,4.2,2008-09,West Ham United,Wigan Athletic
2008-08-17,Aston Villa,Man City,4,2,H,0,0,D,P Dowd,14,13,10,8,7,8,8,11,0,1,0,0,1.91,3.4,4.33,2008-09,Aston Villa,Manchester City
2008-08-17,Chelsea,Portsmouth,4,0,H,3,0,H,M Dean,18,12,11,8,8,3,10,6,0,1,0,0,1.33,5.0,10.0,2008-09,Chelsea,Portsmouth
2008-08-17,Man United,Newcastle,1,1,D,1,1,D,M Riley,18,11,12,4,6,6,15,11,3,0,0,0,1.29,5.5,11.0,2008-09,Manchester United,Newcastle United
2008-08-23,Blackburn,Hull,1,1,D,1,1,D,S Attwell,12,7,5,4,6,3,11,15,0,1,0,0,1.57,3.75,7.0,2008-09,Blackburn Rovers,Hull City
2008-08-23,Fulham,Arsenal,1,0,H,1,0,H,M Atkinson,5,15,2,6,1,5,14,6,2,0,0,0,6.5,3.75,1.57,2008-09,Fulham,Arsenal
2008-08-23,Liverpool,Middlesbrough,2,1,H,0,0,D,M Riley,16,9,8,4,14,3,10,12,2,1,0,0,1.36,4.5,10.0,2008-09,Liverpool,Middlesbrough
2008-08-23,Newcastle,Bolton,1,0,H,0,0,D,S Bennett,10,9,8,4,4,6,8,13,1,2,0,0,1.8,3.5,4.75,2008-09,Newcastle United,Bolton Wanderers
2008-08-23,Stoke,Aston Villa,3,2,H,1,0,H,M Halsey,8,5,2,2,2,8,15,5,1,0,0,0,5.0,3.6,1.73,2008-09,Stoke City,Aston Villa
2008-08-23,Tottenham,Sunderland,1,2,A,0,0,D,M Dean,18,12,11,7,12,6,12,12,1,2,0,0,1.5,4.0,7.0,2008-09,Tottenham Hotspur,Sunderland
2008-08-23,West Brom,Everton,1,2,A,0,0,D,R Styles,14,9,4,7,11,5,11,14,3,1,0,0,2.88,3.25,2.5,2008-09,West Bromwich Albion,Everton
2008-08-24,Man City,West Ham,3,0,H,0,0,D,H Webb,14,3,9,0,6,3,12,16,0,2,0,1,2.3,3.25,3.2,2008-09,Manchester City,West Ham United
2008-08-24,Wigan,Chelsea,0,1,A,0,1,A,A Wiley,10,7,6,3,7,7,13,17,1,2,0,0,8.5,4.5,1.4,2008-09,Wigan Athletic,Chelsea
2008-08-25,Portsmouth,Man United,0,1,A,0,1,A,C Foy,13,12,6,7,4,3,11,11,2,2,0,0,4.8,3.4,1.8,2008-09,Portsmouth,Manchester United
2008-08-30,Arsenal,Newcastle,3,0,H,2,0,H,R Styles,20,4,14,2,12,1,12,11,2,2,0,0,1.44,4.0,9.0,2008-09,Arsenal,Newcastle United
2008-08-30,Bolton,West Brom,0,0,D,0,0,D,K Stroud,18,12,9,7,7,5,18,16,2,2,0,0,1.83,3.5,4.5,2008-09,Bolton Wanderers,West Bromwich Albion
2008-08-30,Everton,Portsmouth,0,3,A,0,2,A,M Halsey,16,6,7,5,4,3,5,11,1,0,0,0,2.1,3.3,3.75,2008-09,Everton,Portsmouth
2008-08-30,Hull,Wigan,0,5,A,0,2,A,M Jones,10,8,5,5,7,3,18,12,1,0,0,0,2.5,3.25,2.88,2008-09,Hull City,Wigan Athletic
2008-08-30,Middlesbrough,Stoke,2,1,H,1,0,H,M Dean,21,7,12,2,4,5,14,18,2,4,0,1,1.57,3.6,7.0,2008-09,Middlesbrough,Stoke City
2008-08-30,West Ham,Blackburn,4,1,H,2,1,H,M Riley,11,12,6,7,10,4,14,21,1,5,0,0,2.5,3.25,2.88,2008-09,West Ham United,Blackburn Rovers
2008-08-31,Aston Villa,Liverpool,0,0,D,0,0,D,M Atkinson,5,8,2,3,5,8,9,13,0,2,0,0,3.0,3.25,2.4,2008-09,Aston Villa,Liverpool
2008-08-31,Chelsea,Tottenham,1,1,D,1,1,D,H Webb,12,6,3,6,5,8,10,13,3,0,0,0,1.4,4.33,9.0,2008-09,Chelsea,Tottenham Hotspur
2008-08-31,Sunderland,Man City,0,3,A,0,1,A,C Foy,10,9,4,8,3,3,20,11,4,2,0,0,2.2,3.3,3.4,2008-09,Sunderland,Manchester City
2008-09-13,Blackburn,Arsenal,0,4,A,0,2,A,M Dean,10,17,3,10,5,5,8,8,1,1,0,0,4.5,3.5,1.83,2008-09,Blackburn Rovers,Arsenal
2008-09-13,Fulham,Bolton,2,1,H,2,0,H,S Tanner,20,8,13,7,12,6,15,11,1,1,0,0,2.25,3.3,3.3,2008-09,Fulham,Bolton Wanderers
2008-09-13,Liverpool,Man United,2,1,H,1,1,D,H Webb,16,7,11,3,5,4,10,18,0,3,0,1,3.0,3.0,2.6,2008-09,Liverpool,Manchester United
2008-09-13,Man City,Chelsea,1,3,A,1,1,D,M Halsey,13,18,7,8,8,5,14,10,0,1,0,1,4.33,3.3,1.91,2008-09,Manchester City,Chelsea
2008-09-13,Newcastle,Hull,1,2,A,0,1,A,A Marriner,13,8,4,4,5,3,13,17,0,2,1,0,1.62,3.75,5.75,2008-09,Newcastle United,Hull City
2008-09-13,Portsmouth,Middlesbrough,2,1,H,0,1,A,S Attwell,21,7,12,3,3,2,8,6,2,1,0,0,2.0,3.5,3.75,2008-09,Portsmouth,Middlesbrough
2008-09-13,West Brom,West Ham,3,2,H,2,2,D,L Probert,13,21,8,13,8,8,9,18,1,1,0,0,2.4,3.25,3.0,2008-09,West Bromwich Albion,West Ham United
2008-09-13,Wigan,Sunderland,1,1,D,0,1,A,R Styles,12,6,8,5,8,6,10,9,1,1,1,0,2.05,3.3,4.0,2008-09,Wigan Athletic,Sunderland
2008-09-14,Stoke,Everton,2,3,A,0,1,A,A Wiley,12,8,7,5,7,8,10,19,2,1,0,0,3.4,3.4,2.2,2008-09,Stoke City,Everton
2008-09-15,Tottenham,Aston Villa,1,2,A,0,1,A,S Bennett,17,17,10,13,12,8,15,12,1,4,0,0,2.1,3.3,3.6,2008-09,Tottenham Hotspur,Aston Villa
2008-09-20,Blackburn,Fulham,1,0,H,0,0,D,L Probert,11,11,4,5,4,3,13,11,2,0,0,0,2.1,3.3,3.6,2008-09,Blackburn Rovers,Fulham
2008-09-20,Bolton,Arsenal,1,3,A,1,2,A,S Bennett,12,20,8,9,7,17,12,10,2,2,0,0,6.5,3.75,1.57,2008-09,Bolton Wanderers,Arsenal
2008-09-20,Liverpool,Stoke,0,0,D,0,0,D,A Marriner,27,3,11,2,20,3,8,10,1,1,0,0,1.2,6.5,15.0,2008-09,Liverpool,Stoke City
2008-09-20,Sunderland,Middlesbrough,2,0,H,0,0,D,H Webb,17,14,11,11,8,7,9,16,2,3,0,0,2.38,3.1,3.2,2008-09,Sunderland,Middlesbrough
2008-09-20,West Ham,Newcastle,3,1,H,2,0,H,P Dowd,12,11,6,8,2,6,8,21,1,2,0,0,2.1,3.3,3.6,2008-09,West Ham United,Newcastle United
2008-09-21,Chelsea,Man United,1,1,D,0,1,A,M Riley,20,13,13,8,7,4,15,18,1,7,0,0,2.2,3.1,3.6,2008-09,Chelsea,Manchester United
2008-09-21,Hull,Everton,2,2,D,1,0,H,L Mason,9,17,5,8,4,6,11,12,0,1,0,0,3.1,3.4,2.3,2008-09,Hull City,Everton
2008-09-21,Man City,Portsmouth,6,0,H,2,0,H,A Wiley,14,10,10,4,8,5,13,14,0,1,0,0,2.0,3.3,4.0,2008-09,Manchester City,Portsmouth
