match_date,home_team_raw,away_team_raw,home_goals,away_goals,result,home_goals_ht,away_goals_ht,result_ht,referee,home_shots,away_shots,home_shots_target,away_shots_target,home_corners,away_corners,home_fouls,away_fouls,home_yellows,away_yellows,home_reds,away_reds,odds_home_b365_close,odds_draw_b365_close,odds_away_b365_close,season,home_team,away_team
2009-08-15,Aston Villa,Wigan,0,2,A,0,1,A,M Clattenburg,11,14,5,7,4,6,15,14,2,2,0,0,1.67,3.6,5.5,2009-10,Aston Villa,Wigan Athletic
2009-08-15,Blackburn,Man City,0,2,A,0,1,A,M Dean,17,8,9,5,5,4,12,9,2,1,0,0,3.6,3.25,2.1,2009-10,Blackburn Rovers,Manchester City
2009-08-15,Bolton,Sunderland,0,1,A,0,1,A,A Marriner,11,20,3,13,4,7,16,10,2,1,0,0,2.25,3.25,3.25,2009-10,Bolton Wanderers,Sunderland
2009-08-15,Chelsea,Hull,2,1,H,1,1,D,A Wiley,26,7,12,3,12,4,13,15,1,2,0,0,1.17,6.5,21.0,2009-10,Chelsea,Hull City
2009-08-15,Everton,Arsenal,1,6,A,0,3,A,M Halsey,8,15,5,9,4,9,11,13,0,0,0,0,3.2,3.25,2.3,2009-10,Everton,Arsenal
2009-08-15,Portsmouth,Fulham,0,1,A,0,1,A,M Atkinson,16,9,4,3,6,4,11,18,3,2,0,0,2.63,3.2,2.75,2009-10,Portsmouth,Fulham
2009-08-15,Stoke,Burnley,2,0,H,2,0,H,S Bennett,12,9,5,5,3,6,15,10,2,2,0,0,1.91,3.3,4.33,2009-10,Stoke City,Burnley
2009-08-15,Wolves,West Ham,0,2,A,0,1,A,C Foy,19,16,11,13,8,6,9,5,0,0,0,0,2.63,3.3,2.7,2009-10,Wolverhampton Wanderers,West Ham United
2009-08-16,Man United,Birmingham,1,0,H,1,0,H,L Mason,26,6,17,4,13,2,13,7,1,1,0,0,1.2,6.0,17.0,2009-10,Manchester United,Birmingham City
2009-08-16,Tottenham,Liverpool,2,1,H,1,0,H,P Dowd,17,6,11,3,6,5,14,16,3,3,0,0,3.2,3.25,2.3,2009-10,Tottenham Hotspur,Liverpool
2009-08-18,Sunderland,Chelsea,1,3,A,1,0,H,S Bennett,4,20,3,9,1,14,14,10,2,2,0,0,6.5,4.0,1.53,2009-10,Sunderland,Chelsea
2009-08-18,Wigan,Wolves,0,1,A,0,1,A,M Jones,18,9,5,3,4,4,8,21,0,3,0,0,1.73,3.6,5.25,2009-10,Wigan Athletic,Wolverhampton Wanderers
2009-08-19,Birmingham,Portsmouth,1,0,H,0,0,D,L Probert,9,9,5,4,4,5,11,20,0,5,0,0,2.0,3.3,4.0,2009-10,Birmingham City,Portsmouth
2009-08-19,Burnley,Man United,1,0,H,1,0,H,A Wiley,8,18,2,9,1,12,8,12,2,1,0,0,9.5,5.0,1.33,2009-10,Burnley,Manchester United
2009-08-19,Hull,Tottenham,1,5,A,1,3,A,C Foy,9,18,7,12,6,5,23,13,3,2,0,0,3.75,3.5,2.0,2009-10,Hull City,Tottenham Hotspur
2009-08-19,Liverpool,Stoke,4,0,H,2,0,H,P Walton,18,6,13,3,11,5,10,9,0,1,0,0,1.25,5.5,13.0,2009-10,Liverpool,Stoke City
2009-08-22,Arsenal,Portsmouth,4,1,H,2,1,H,S Bennett,19,9,16,4,8,4,9,10,1,0,0,0,1.17,7.0,19.0,2009-10,Arsenal,Portsmouth
2009-08-22,Birmingham,Stoke,0,0,D,0,0,D,C Foy,8,13,6,3,3,3,8,13,0,3,0,0,2.3,3.2,3.25,2009-10,Birmingham City,Stoke City
2009-08-22,Hull,Bolton,1,0,H,0,0,D,M Jones,12,20,5,10,4,12,19,19,3,2,0,0,2.6,3.25,2.8,2009-10,Hull City,Bolton Wanderers
2009-08-22,Man City,Wolves,1,0,H,1,0,H,L Mason,16,10,11,2,5,6,7,11,0,1,0,0,1.33,4.5,12.0,2009-10,Manchester City,Wolverhampton Wanderers
2009-08-22,Sunderland,Blackburn,2,1,H,1,1,D,A Wiley,8,18,5,5,0,10,12,14,2,1,0,0,2.1,3.25,3.75,2009-10,Sunderland,Blackburn Rovers
2009-08-22,Wigan,Man United,0,5,A,0,0,D,H Webb,16,16,7,13,3,5,11,8,2,2,0,0,6.5,4.0,1.53,2009-10,Wigan Athletic,Manchester United
2009-08-23,Burnley,Everton,1,0,H,1,0,H,P Dowd,8,17,4,11,3,7,11,13,1,0,0,0,3.4,3.3,2.2,2009-10,Burnley,Everton
